ID,dates,name,ratings,reviews,Blood and lymphatic system disorders,Cardiac disorders,Congenital familial and genetic disorders,Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,Injury poisoning and procedural complications,Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Neoplasms benign malignant and unspecified (incl cysts and polyps),Nervous system disorders,Pregnancy puerperium and perinatal conditions,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,Respiratory thoracic and mediastinal disorders,Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,Product issues,Positive effects,Correct review,Incorrect review,Incompatibility
471,2007-10-25,Vitamin_D,5.0,first day take vit dso far side effectsdo great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,2008-01-05,Ginkgo,4.3,improv blood flow increas brain alert cognit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
470,2008-02-05,Vitamin_D,4.0,im find vit increas appetit anyon els complain side effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
167,2008-02-28,Folic_acid,2.3,use folic acid sever month develop sever rash itch stop medic week rash itch stop antihistiman medic reliev itch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
469,2008-03-30,Vitamin_D,4.0,great side effect allevi low back pain due spinal stenosi elimin 80 pain low back butt upper back thigh left calf diabet doc say similar report patient ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
468,2008-04-02,Vitamin_D,5.0,realli like med realli work fatherinj law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
467,2008-04-08,Vitamin_D,3.7,pain joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
165,2008-04-09,Folic_acid,4.7,experi good ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
466,2008-05-03,Vitamin_D,5.0,lost 5075 back pain day take 50000 iu vitamin start treatment wait see wht happen say within month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
465,2008-05-13,Vitamin_D,5.0, use get cramp ankl sevr get walk told cowork mother take cramp take 2 year dont get cramp anymor use dosag 1000 iu per day tri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
463,2008-08-14,Vitamin_D,4.7,two 50000 unit dose one week tired experienc month markedli improv howev terribl stomachabdomin pain entir day take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
462,2008-08-24,Vitamin_D,3.7,ive take 50000 unit week 6 week vit level within normal rang low that great stomach start unhappi dosag nausea nasti reflux wont ever take without food loos bowel im begin think harm good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
460,2008-10-08,Vitamin_D,5.0,take 50000iu twice day 14 year side effect take dose food alway quit effect take direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
459,2008-10-14,Vitamin_D,2.7,allerg vitamin seem rash sinc start take ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
458,2008-10-30,Vitamin_D,3.0,prescrib 50000 unit twice week 30 day experienc kidney failur heart problem gain weight testicl swell upend emerg room 3 day reduc fluid build,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
457,2008-11-01,Vitamin_D,2.3,terribl joint pain especi back pain ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
456,2008-11-10,Vitamin_D,2.0,given 50000 unit nine week end time joint pain felt like cloud 9 time gone feel better tell vit low afraid take larg dose like go dr take two reg day inst larg dose felt like function normali feel good ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,2008-11-23,Folic_acid,4.0,take drug prevent measur tri conceiv side effect find easi take though wont certain well work becom pregnant confid well worth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
454,2008-12-10,Vitamin_D,1.0,dr nurs call said vit level low dr call dristol well guess vit 125 im scare get palpitaion read side effect caus fast pound heart im terrifi dont know dodo anyon know level number that low thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
453,2008-12-15,Vitamin_D,1.0,noth yet scare take vit 125mi level low 4 anyon els low thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
452,2008-12-17,Vitamin_D,3.7,second week 50000 miu week 8 week everi two week 8 week far nausea loos stool told dr would rather move sunnylol level 8 extrem low 20 consid low test 3 month see improv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
451,2008-12-17,Vitamin_D,1.0,hi glad dont bad side effect nausea loos stool think deal long dont get pound heart level 4 guess prescript bottl mine say 125 mg wek 12 week think mean 50000 pill green soft gel need get nerv take nurs call week ago research obsess like phobia take high dose want much right thing keep tri lolim scardey cat ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
450,2008-12-18,Vitamin_D,2.0,experi 50000 iu vitamin good mayb thing dont know go caus problem interact exactli 24 hour took time take get system terribl choke smother sensat throat chest area bodi ach still deal stomach pain reflux bloat caus also increas anxieti nervous almost point panic never take high dosag anyth resort anoth mean get level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
