ID,review_dates,name,review_ratings,reviews,Blood and lymphatic system disorders,Cardiac disorders,Congenital familial and genetic disorders,Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,Injury poisoning and procedural complications,Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Neoplasms benign malignant and unspecified (incl cysts and polyps),Nervous system disorders,Pregnancy puerperium and perinatal conditions,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,Respiratory thoracic and mediastinal disorders,Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,Product issues,Positive effects,Correct review,Incorrect review,Incompatibility
1254,2023-08-04,Krill_oil,5,"I just started taking these and have felt a difference in joint pain and my back pain. No fishy taste or burps, but if you stick your nose in the bottle it does smell fishy but it is supposed to. Not a huge deal for me as long as it helps. They are easy to swallow and I have started off just taking one capsule daily to see if that is enough. If not after a week or so I will bump it up to 2 daily. I do recommend these and they are a good price for krill.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1255,2023-12-18,Krill_oil,5,good quality was as advertised.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1256,2023-09-21,Krill_oil,4,"I’ve been taking these for a couple of years and not sure if they have helped or not. I stopped a few times and didn't notice a difference. My latest bottle had a broken capsule and all the other capsules are oily and smell awful not to mention the taste. Trying to get through the bottle, but I gag a little every time. I know others see a difference, so I may keep taking and hope that the next bottle is fully in tact.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1257,2023-10-24,Krill_oil,5,"I've tried many fish oil and krill oil pills, trying to find something that doesn't give me heartburn but still provides omega 3. This is the best I've found. No fishy smell, no weird aftertastes or burps.

The only issue I found, and others have echoed, is that all my pills were fused together fr the desert heat. After they cooled down, I simply smacked the bottle around and most of them broke apart. A couple stayed stuck together (and some broke when I tried to force them apart), but all I'm all I'm very pleased with this brand!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1258,2024-01-05,Krill_oil,5,"Haven’t used it yet, but I know my regular Nature Made fish oil is good, but I’ve always heard that Krill oil is much better!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1259,2023-12-24,Krill_oil,5,Bought for my health.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1260,2024-01-07,Krill_oil,3,"I bought these Krill supplements because they are supposed to be good at lowering cholesterol. I’ve just starting taking them so I can’t speak to that yet. However a big reason I chose this brand is because people said there was no fish taste or burping up a fish taste. That’s not true. Everytime I take one I am burping up a terrible fish taste. It’s really awful. I hope they work for the purpose I bought them, but this fish taste is a bummer. 3 stars because of the fish taste.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1261,2023-12-24,Krill_oil,5,I regularly use this product to assist me in keeping my HDL & LDL levels in their respective proper levels. This regiment is working well.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1262,2023-12-30,Krill_oil,4,Not enough time to evaluate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1263,2024-01-08,Krill_oil,5,Es una excelente fuente de omega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
