review_dates,review_places,review_ratings,review_authors,review_titles,reviews
" April 13, 2023", United States ,5,Er K.,"Treating my 1.5yo Cat, Ingo, w/ this for Stomatitis","This Product is Amazing! At 10ppm (parts per million), it is on the Lower side of this Type of Product, as there are other Colloidal Silver's w/ 500ppm (& up).

However, I started giving this to my Cat, Ingo, on Monday Morning, due to him Slowly becoming Darn near Anorexic due to the Pain & Inflammation in his Mouth, causing him to Hate how Food, so he wouldn't Eat to avoid the Pain. He used to LOVE his Food & would come Running! He was a Healthy 10Lbs, but right before he got Fixed at the Beginning of March, I Weighed him to Find that he was only a Whopping 7.5Lbs! When I took him to get Neutered, I asked the Intake Staff if they could ask the Vet/Surgeon to take a Peek at his Teeth while he was Sedated & Intubated to see if they could see a Broken Tooth or Infection, etc, bc the Water Additive & PlaqueOff wasn't making the Difference I'd Hoped for. Needless to say, the couldn't be bothered to quickly take a look to let Me know what was gong on. Then Due to the Pain Meds from his Surgery he was Gorging due to not Eating enough prior to his Neuter Surgery due to the Pain, but once it wore off he slowly reverted back to treating Food like the Enemy, but the Last Straw for me was when he started Hiding more & more, acting Reclusive, not Eating & Sleeping all Day. Definitely NOT the way most Cats his Age act & I knew I had to do something. I've had Cats & Dogs my Entire Life & NEVER heard of ""Stomatitis"", which in Layman's Terms is Inflammation of the Opening of the Mouth, such as the Gums (Not the Stomach): ""Stoma"" means ""Opening of"" & -itis means ""Inflammation"". The Pain is usually SO Bad that they won't Eat or they'll Eat very little to avoid the Pain. What would happen w/ Ingo is that when his Tongue or the Food hit the Sorest Areas of his Gums he'd Puff up, Throw Himself around while Sounding like he was Hacking up Glass, but it was due to a Combo of him Hissing & trying to Remove the Food from around his Sore Gums. Other Cats are known to Drool, Growl, Paw at their Face, etc & tell tale Sign that it's Stomatitis & Not Gingivitis is the Bright Blood Red line that runs down the Gumline directly below the Teeth, but the Guns around the Teeth can also be Blood Red & Noticeably Inflamed/Swollen/Puffy.

I know that I can't Afford Dental Extractions, due to the RidiculouslyOutrageous Costs a Vet Charges, & Full Mouth Extractions is usually what a Vet's Prognosisis is for Stomatitis... ALOT of times they'll do 1/2 the Mouth, but they'll Tell Patients Parents (Dog/Cat Parents), that in Order to Treat it 100% ALL of the Teeth NEED to be Extracted, which can run into the 1000s & sometimes the Age of the Pet makes them not a Candidate for the Anesthesia that's necessary for the Surgical Extractions... & some of us Flat out can't Afford Extractions, ESPECIALLY NOT Full Mouth Extractions. So, what to do?? Let Me tell you: Colloidal Silver is a God Send. Colloidal Silver is what you need & technically should be in EVERy Household. As I mentioned above, I gave Ingo his 1st Die, w/ Gradual Increases starting at approximately 10-11a Monday Morning... It's only Wednesday Night now & already Ingo is Eating, Playing, Trilling & back to his Goofy, Loving, Hilarious Self!! If I Questioned the Power of Colloidal Silver before, I No Longer do! I'm a Believer!!

Colloidal Silver is the Equivalent of an OTC Antibiotic that can be used in People & all Animals (at least Mammals, bc I don't know enough about Reptiles & Birds to say it's Ok for them). It can be used to Treat Inflammation, Sinus Infections, Ear Infections, OBGYN Issues, Eye Infections, Sore Throats, URIs, Cuts, Acne, Bite Wounds (that are more Surface than Deep Tears which Require Stitches), it also Helps Percent Scarring, etc etc etc. I Read Testimonials of People who Suffered from Sinus Infections for Years, that used to Lay them out for Weeks, who now take this as soon as they start Feeling a Speck of a Sinus Infection Symptom & what used to be Weeks in Agony, is now a Few Crappy, but Manageable Days!!

I'd NEVER heard of Colloidal Silver until I was Desperately & Frantically Searching for Things I could do to Relieve &/or Treat Ingo's Symptoms. I was Skeptical of it Working Super Quick, but I Believed other Reviews about how Well this Worked for their Pets Stomatitis & now that I've seen it literally Work Wonders w/ my Own Eyes for Ingo in less than 3 Full Days, I'm a True Believer!

The Best Part about Colloidal Silver, besides that it Works, is that you really can't OD on it & neither can your Pet!! Just make sure you don't take Unnecessarily Excessive Amounts for a REALLY Longtime, as there's Stories of it turning people's Skin Blue Permanently. Don't let that Scare you, it takes ALOT of CS & for a LONGTIME for that to happen!!

If you're as Desperate to Help your Fur Baby, as I was to Help Ingo, you have NOTHING to Lose & EVERYTHING to Gain by Ordering this for yourself &/or your Furry Kid!! Not to mention $20 is ALOT Better than the Beginning of $1000s & a Long & Painful Recovery for your Pet. TRY THIS FIRST! IT WORKS!! I Hope you & Fur Baby Fell Better as Quickly as Ingo did!! 🐱"
" January 12, 2024", United States ,5,Rooferbabe,THE BEST!!!,"I always keep this product in my home, whether it is for me or my pets or someone I may know you cannot beat Sovereign for quality🥰🤗👍"
" January 9, 2024", United States ,5,Kristin,Great for immunity!,Absolutely love this stuff! It’s a holistic way to work on your immunity and it taste like water. My kids even take it!! Has a slight after taste but nothing some water can’t fix.
" January 10, 2024", United States ,5,C.S.K.,Excellent product,Have been using this product for years. Has many medicinal benefits. Supplier honest and reliable.
" January 11, 2024", United States ,5,chris osorio,Boost your Immune System.,I like to take this every morning and there’s absolutely no taste to this.
" January 14, 2024", United States ,4,Tillie,Wonderful,I love this stuff. I use it for so many things it is a staple in my home.
" January 11, 2024", United States ,5,john tarango,Good product.,Order was filled accurately and was as advertised.
" January 8, 2024", United States ,5,Tiffany Quach,It works !,"Honestly, this saved my pink eye! It worked within 1-2 hours. Please carefully read the ingredients prior to purchasing because it may affect differently to others or yourself."
" December 9, 2023", United States ,4,DejaLiyah,Not sure if it does anything,I got this because I had a 2+ month sinus / throat infection and nothing was working. I got this and didn’t see any improvement. After trying EVERYTHING I realized that i have ALLERGIES and that is what my flare up was. This did not help but I am finally getting relief from quercetin + vitamin C plus allergy medication + drinking nettle tea. I also ordered other stuff as well. I’ll still hold on to this stuff but it didn’t help my condition.
" January 10, 2024", United States ,5,Tom,Excellent Quality!!!,Excellent product at an excellent price 👏 👌
