review_dates,review_places,review_ratings,review_authors,review_titles,reviews
" September 7, 2023", United States ,5,Hunter bottoms,Love these,"I recently started taking NOW Supplements Vitamin D-3 5,000 IU, and it has made a noticeable difference in my overall well-being.

The high potency of 5,000 IU per softgel is fantastic, especially for those who may have a Vitamin D deficiency. I appreciate the fact that one softgel provides a significant portion of the daily recommended intake, making it easy to ensure I'm getting enough Vitamin D.

The softgels are easy to swallow, and they don't leave any unpleasant aftertaste. This makes it a hassle-free addition to my daily supplement routine.

I've noticed a positive impact on my mood and energy levels since incorporating this supplement. Vitamin D is crucial for various bodily functions, including immune system support and bone health, and this product delivers in that regard.

The 240-count bottle is excellent value for the price. It lasts for a long time, so I don't have to worry about running out of Vitamin D supplements.

Overall, NOW Supplements Vitamin D-3 5,000 IU is a high-quality product that I would recommend to anyone looking to boost their Vitamin D levels. It's convenient, effective, and offers great value for the quantity provided. It's become a staple in my supplement regimen."
" December 7, 2023", United States ,5,BELOH2O,Small and powerful,I’m on my second bottle of these they’re nice and small and loaded with vitamin D. This is a reliable company so I pretty much only buy from them and a few others but I’m always pleased with NOW. They always have great prices too!
" November 16, 2023", United States ,5,Chuck,Good value for product,"What I like is the high potency for a small pill that is easily swallowed. Many other brands have reviews where the pills are all stuck together, these pills don't have that issue. They are all separable. The Now brand is cheaper than others so I was worried about quality. I saw one reviewer mention that they were informed by someone in the industry that they are pretty good so I went for it. Sure enough, pretty good."
" January 4, 2024", United States ,5,Alexis V. H. Davenport,Great product,Great product at a fair price
" September 28, 2023", United States ,4,Sb,all seem to work the same,"I need to take vitamin D due to low levels in my body. It serves its purpose, is easy to swallow and the price was reasonable. This bottle that I purchased in 2023 had the expiration date of 2027. Since I take it daily I have no fear of using up the 120 pills in around 4 years time. I personally have not noticed a difference from one brand to another in my blood work."
" December 27, 2023", United States ,5,JAVIN SMITH,Works Great!,I love that it's made with olive oil and not a crappy seed oil. Small capsule and easy to swallow with no taste!
" January 2, 2024", United States ,5,Melissa Bennett,Great Value,This is a great cost. They work.
" December 23, 2023", United States ,5,Vadya Electrik,Vitamin D levels good,Very convenient vitamin D3 supplement. It contains a large dose of vitamin in a very tiny and easy to swallow pill. This vitamin needs to be taken with some fat to be better absorbed so the fact that this pill is oil based makes it perfect.
" January 7, 2024", United States ,5,Sara,Easy to Take and Bovine Gelatin,"These are the perfect size where it's not uncomfortable to take AT ALL and is one of the few D3s I could find that had Bovine gelatin (as opposed to pork, which we cannot have). You barely feel it, and it's kind of slippery so it doesn't get ""stuck,"" nor does it have a weird vitamin-y taste that bothers you for a while after. For these reasons, this is the D3 my family and I continue to repurchase."
" January 10, 2024", United States ,5,OldHippie,"Good product, inconsistent look.","I've purchased these for my hubby 3 times, and each time the pills look different. One time the gel cap is clear, next time they're white. Dr's tests show his levels are staying steady, so no complaints about the results, just a bit concerning when the look keeps changing. Makes me wonder why."
" January 16, 2024", United States ,4,Santonio Nelson,Take once a week,"I'm surprised the direction does not say to take these once a week. This is the strongest potency there is and it shouldn't be taken everyday nor for a long period. It can only be taken up to 6-8 weeks once per week. My first day of taken them I got a headache. Second week no headache, I think my body got used to the first capsule."
" January 17, 2024", United States ,5,Marie A.,Great value,Now is my favorite brand and the pricing here on Amazon is amazing as opposed to going to a local vitamin store
" December 29, 2023", United States ,5,Customer Gus and Marjorie,Great Fit D3 Supplement,"Vitamin D-3 5,000 IU, High Potency, They are very easy to swallow they are small but powerful, No flavor they are Soft gels Tabs, We have repurchased this over and over, Great value and great price for all you get."
" December 24, 2023", United States ,5,Lillian K Allen,Really works,"My doctor asked after blood work why I was taking so much vitamin E. She suggested I back off. The assistant motioned to keep talking it! I heard that it is good and I continue to take 5,000 units a day."
" December 23, 2023", United States ,5,Cathy A.,"No taste, easy to swallow",Flavorless and easy to swallow. I take this after a meal with my vitamin B12 and I do not have an issue with being cold all the time anymore. My energy levels are higher and I have been sleeping better.
" January 5, 2024", United States ,5,James,Little balls of greatness,Small balls of vit. D make it very easy to swallow. I appreciate how easy these are to swallow! Thanks!
" January 14, 2024", United States ,5,lisa wickham,Needed,U need this for everything
" December 13, 2023", United States ,5,Brandon Hudson,Small but Lovely,"Purchased item one week ago. I was instructed by my physician to take twice per day due to a deficiency. Overall, product is easy to take, easy to swallow, no flavor or aftertaste which is very nice. The price was decent considering the quantity. Recommend taking with food and straight water. Will purchase again."
" January 17, 2024", United States ,5,omar pena,Thank you,👍
" January 12, 2024", United States ,5,Jerry S.,Good stuff,Vitamin D is Good.
" January 3, 2024", United States ,5,Shawna Dalfonso,Allergy Friendly,Quality supplement doesn’t have cheap soy filled oil like some brands. Love the tiny gels easy to swallow
" December 16, 2023", United States ,5,Patti,I have used N.O.W. supplements for many years!,"N.O.W. supplements have been a trusted brand in my household for many years. D3 is a vitamin (actually hormone) that is considered essential because we don't get enough sun on our skin day to day. A capsule containing 5,000 IU is the potency I use."
" January 10, 2024", United States ,5,Kristie Carpenter,Great price,The price was great
" January 11, 2024", United States ,5,Kseniia,Good,"good quality, good product"
" January 8, 2024", United States ,5,Dan P.,Recommended by a knowledgeable professional.,All indications this is a good product.
" December 31, 2023", United States ,5,MeKenzie,Best swallow vitamin D 😁,This name brand is the best for swallowing ! At age 50 we NEED our D-3 5000💝
" January 16, 2024", United States ,4,Santiago,Que los futuros usuarios sepan si vale o no la pena comprar,Utilizamos como fuente de vit D
" January 3, 2024", United States ,5,LindsayJim,Delivered promptly,"Arrived promptly, no complaints about this product."
" January 7, 2024", United States ,5,Maryann,It's a good product,Fits my purpose.
" January 5, 2024", United States ,5,Rita,Health,Great D good for older ones especially
" December 26, 2023", United States ,5,Fernanda G,Vitaminas,"Son cápsulas pequeñas fácil de tomar, las tomo en la mañana recién una semana vamos a ver qué tal me va!!!"
" December 25, 2023", United States ,5,Octavia Swaby,Lacking,I recently had surgery and it had to keep up with my vitamin intake. This help greatly.
" December 12, 2023", United States ,5,Ashley B,Perfect size,If you’re not a fan of big pills then these are for you. The value for the money is also great. I will continue to order these in the future.
" December 28, 2023", United States ,5,Gil Fonseca,Easy to swallow pills,They are tiny and easy to take daily.
" November 16, 2023", United States ,5,Karen Brock Fernandez,Are you Vitamin D3 deficient?,"If you have very little sunshine exposure, chances are you are Vitamin D3 deficient. This is according to thousands of blood tests of thousands of Americans. A Vitamin D3 deficiency can lead to tiredness and fatigue, a general feeling of low energy, and a lack of vitality. Speak with your physician and review your labs. This simple and inexpensive vitamin might help you get on track to be your old self. Check it out. Now Foods is one of the most well-respected and trusted brands and they include reasonable prices."
" December 8, 2023", United States ,5,Don Galindo,5 Star product!,When I saw the 5 Star reviews I knew this had to be a really good product! When they arrived I put some right into my daily pill box!
" November 30, 2023", United States ,5,Christine Hartley,NOW products are cornering the CLEAN market my gripe is the cellulose - could use veggie cap.,Need a cellulose casing alternative. But I have mast cell activation syndrome and from their body oils to their vitamins they have the most options for people who TRULY use CLEAN TOXIN FREEEEEEE. NOW is my go to for many things. I love this company
" December 23, 2023", United States ,5,Mpwest,Perfect for my rx,My dr wanted me to take this strength!
" December 24, 2023", United States ,5,Ines Ortiz,Buen prodicto,"Llego muy pronto, buen producto, gracias"
" December 23, 2023", United States ,5,keith smith,It’s vitamin D,Thank you
" December 24, 2023", United States ,5,A.S.,PERFECT!!!,Exactly as described.
" December 9, 2023", United States ,4,Superlooney,"NOW Supplements, Vitamin D-3",I was falling a sleep and had no energy. After taking I no longer need a nap in the afternoon. Energy is back. Love this product.
" December 4, 2023", United States ,5,Luke Morgan,Pretty good for the price,Compared to all the other brands I think this is legitimately the best deal for the value and quality of the vitamin D.
" December 15, 2023", United States ,5,Kiley Sydney,Great vitamin,My husband takes these daily.
" December 10, 2023", United States ,5,poping,Vitamin,I love this brand. I have been taking for Years. They are easy to swallow.
" December 9, 2023", United States ,5,Yamilka R.,Good product,"I've been taking them for 2 months, so far it doesn't hurt the stomach and I feel more energetic."
" December 16, 2023", United States ,5,Lakesha Johnson,Works good,Works good
" November 20, 2023", United States ,5,Amazon Customer,Supplement for magnesium,I use this to supplement my magnesium for sleep. Great quality as far as I can tell and small pill size that goes down easy. Good quantity amount for money.
" December 10, 2023", United States ,3,Ciro,NOW Supplements Vitamin D-3 - A Constipated Odyssey,"So, I thought I'd be all ""health ninja"" and grab NOW Supplements Vitamin D-3 5,000 IU. Note to self: Next time, consult a doctor, unless you're into surprise constipation parties. Spoiler alert: I wasn't.

These golden nuggets of ""structural support"" turned out to be more like rebellious architects staging a coup in my digestive system. Forget about feeling the sunshine; I was stuck in a cloud of discomfort.

Now, did I experience any life-altering revelations during this constipation escapade? Nope. These softgels didn't transform me into a health god; they just made me question my life choices while glued to the porcelain throne.

In the grand spectacle of my health journey, these softgels decided to add a plot twist. ""Sure, boost your Vitamin D levels,"" they whispered, ""but we're also here to keep things interesting, like a dysfunctional reality show for your gut.""

So, if you're in the market for a supplement that turns your daily routine into a bathroom drama, NOW Supplements Vitamin D-3 5,000 IU might just be your quirky sidekick. As for me, I'm off to consult professionals before embarking on any more gut-wrenching adventures. Here's to health, humor, and the uncharted territories of constipation comedy!"
" December 12, 2023", United States ,5,Kevin,Vitamin D3,Great product!
" December 4, 2023", United States ,5,PJ,Great,Great Value for the price
" November 30, 2023", United States ,5,The Pro,Does want it is supposed to do for a very good price.,Nothing to dislike -- recommend everyone take one a day.
" December 14, 2023", United States ,5,HD4X4,Really helps,Very good
" December 11, 2023", United States ,4,"Please let me know, I have ordered 3 pounds of the wheat pennies coins and I have got 1 pound of it, where’s the other 2 pounds of it?",That is alright that I get,The product is alright for me
" December 5, 2023", United States ,4,Robin Sassman,It is an excellent product!!!,It is an excellent product!!!
