review_dates,review_places,review_ratings,review_authors,review_titles,reviews
" August 4, 2023", United States ,5,Lori C,So far so good!!,"I just started taking these and have felt a difference in joint pain and my back pain. No fishy taste or burps, but if you stick your nose in the bottle it does smell fishy but it is supposed to. Not a huge deal for me as long as it helps. They are easy to swallow and I have started off just taking one capsule daily to see if that is enough. If not after a week or so I will bump it up to 2 daily. I do recommend these and they are a good price for krill."
" December 18, 2023", United States ,5,James Oliver,Excellent product,good quality was as advertised.
" September 21, 2023", United States ,4,Tjones,Broken Capsule,"I’ve been taking these for a couple of years and not sure if they have helped or not. I stopped a few times and didn't notice a difference. My latest bottle had a broken capsule and all the other capsules are oily and smell awful not to mention the taste. Trying to get through the bottle, but I gag a little every time. I know others see a difference, so I may keep taking and hope that the next bottle is fully in tact."
" October 24, 2023", United States ,5,DesertPanda,"If you get heartburn from fish oil, TRY THESE","I've tried many fish oil and krill oil pills, trying to find something that doesn't give me heartburn but still provides omega 3. This is the best I've found. No fishy smell, no weird aftertastes or burps.

The only issue I found, and others have echoed, is that all my pills were fused together fr the desert heat. After they cooled down, I simply smacked the bottle around and most of them broke apart. A couple stayed stuck together (and some broke when I tried to force them apart), but all I'm all I'm very pleased with this brand!"
" January 5, 2024", United States ,5,WC Caughman @ Lake Lanier,Krill oil is the best to buy!!,"Haven’t used it yet, but I know my regular Nature Made fish oil is good, but I’ve always heard that Krill oil is much better!"
" December 24, 2023", United States ,5,Brian,Good Price,Bought for my health.
" January 7, 2024", United States ,3,Lenape,Burping up nasty fish taste,"I bought these Krill supplements because they are supposed to be good at lowering cholesterol. I’ve just starting taking them so I can’t speak to that yet. However a big reason I chose this brand is because people said there was no fish taste or burping up a fish taste. That’s not true. Everytime I take one I am burping up a terrible fish taste. It’s really awful. I hope they work for the purpose I bought them, but this fish taste is a bummer. 3 stars because of the fish taste."
" December 24, 2023", United States ,5,V King,"I'm a repeat, happy customer",I regularly use this product to assist me in keeping my HDL & LDL levels in their respective proper levels. This regiment is working well.
" December 30, 2023", United States ,4,Cheryl,Easy on digestive system,Not enough time to evaluate
" January 8, 2024", United States ,5,Fernando,Es una excelente fuente de omega,Es una excelente fuente de omega
" January 3, 2024", United States ,5,Bridget,Best Krill Oil On the Market,Extremely Impressed With This Product for many months on end
" December 29, 2023", United States ,5,Benito hernandez,Que toda persona lo debería usar,"Para antioxidante de 1ra
Completo en lo mejor de aceite de crill"
" December 24, 2023", United States ,5,Lee bandy,No problem,"Best product I have found on the market,"
" December 7, 2023", United States ,4,Chamreun Khorl,good,good
" December 25, 2023", United States ,5,Robert L. Johnson,Great value,Taking it daily
" December 10, 2023", United States ,5,C. Warren,Krill Oil suppliment,Decided to switch from fish oil to Krill oil as have read it is higher in Omega 3
" November 16, 2023", United States ,5,Rich O.,Great Omega 3 Krill oil which contains a large dose of the best ingredients !,"Antartic Krill Oil contains 2000mg krill oil, the Phospholipid omega 3 complex is 240 mg.
The EPA is 80 mg , Tthe DHA is 40 mg , other fatty acids are 60 mg , Phospholipids are 60 mg
Anataxanthin is 600 mg .
There is NO : gluten, wheat, milk, lactose, soy, artificial color, artificial flavor, artificial sweetener, or preservatives. This is also NON GMO .

;"
" January 2, 2024", United States ,3,Dale,"Quality omega-3 gels, but only if the packaging is good.","Price was very reasonable. The first bottle of 240 softgels I ordered in the summer of 2023 was very good, and I had no problems using the capsules daily. With the second order of 120 soft gels I ordered in December I was not so lucky. A couple of capsules had apparently leaked and all the gelsl capsules are stuck together. Tried separating them but they just burst. So I'm out the cost of a bottle of these Krill Oil gels and unfortunately I might have to reconsider what I order in the future."
" September 27, 2023", United States ,4,Peter Rabbit,All pills stuck in the bottle,"All of the pills in the bottle were stuck together. I have purchased this particular item many times. This is the first time I have experienced pills being stuck together. I really like this item. I use it for cardiovascular health. The quality seems to be good, but I am not happy with the condition of these pills. My products that I buy from Amazon never set on my porch very long."
" November 2, 2023", United States ,4,Mili T.,Good Consistency,"Purchased as a supplement for my dog’s coat. Punctured capsule, and
mixed in with food, dog liked."
" October 6, 2023", United States ,4,Joyce L. Parton,No fish taste,Have been using this product for a number of years which we always order through Amazon. There is no fishy taste or upset to our stomachs. We are using this product instead of the more expensive Omega red. We feel this product is a good buy and have been purchasing from this seller frequently
" December 5, 2023", United States ,5,Larry Woodard,That it works,"So far, this product is performing well."
" December 1, 2023", United States ,5,William In N.Y.,Healthy !,"Easy to take, no bad side effects.
A healthy supplement.
I take one per day.
Excellent bloodwork results."
" December 3, 2023", United States ,5,Don Alan Hauser,It is easy to use,Easy to swallow gel pills
" September 16, 2023", United States ,4,anoyamous,Great price!,I need more oil in my diet this did the job pills are rather large but gelatin coat so they go down easy but I do belch up the oily taste; however I don’t mind as it is working well for my health!
" November 19, 2023", United States ,5,ron,👍👍👍,Easy to use noticed no effects on my stomach. Seems very good quality
" November 16, 2023", United States ,5,Mitcheal Toles,Oil of life,New brand of oil and I love that I can get it on Amazon.
" August 5, 2023", United States ,4,AmazonPrice,A warning for you,"I really like this product, and I purchased it several times.
Just a warning for you: do not order this when the weather is hot, the softgels all stuck together and I could not even separate them, I had to request a refund."
" August 9, 2023", United States ,4,Amazon Customer,Leave me alone,"I love the product!! But keep asking me to write something!! NOT GONNA HAPPEN, it makes me feel somewhat Offended. I give you a Star . But that’s all Thank you Stan Jackson"
" November 5, 2023", United States ,3,jdsergent,Smell/size of capsule,"Purchased for my daughter. However, capsules smell bad and are too large for her to swallow. Tried to process a return and it says nonrefundable. However on the main listing page it says “eligible for return”. What I didn’t know was that when you click on Eligible for return under the listing, it THEN says nonreturnable. Very deceptive and can’t get my money back. Listing needs to be clearer about eligibility for return"
