review_dates,review_places,review_ratings,review_authors,review_titles,reviews
" December 28, 2023", United States ,5,Betty,Works like a charm!,I have tried many other brands and always come back to this one! Dissolve under tongue and feel sleepy around 25 minutes later. Tastes fine and I highly recommend. Side note… have had occasions where I needed to change course and stay awake and was able to push through without a ton of drowsiness. Conclusion when you start to feel sleepy shut it down and let it do its job.
" December 2, 2023", United States ,5,Kate Maxwell,"Safe, Easy, Effective","The strawberry flavor, fast dissolving tablet is ideal for me. As a senior, it's vital that any sleep aid does not have side effects, as prescription meds may, that would put me at risk of falling when I need to get up to go to the bathroom in the middle of the night."
" August 28, 2022", United States ,5,Crystal Matthews,Best Taste and Better than ANY Narcotic if 20+ years!,"Do NOT buy the 10mg the taste is bitter from I love the taste of this brand Natrol melatonin berry flavored! I love the fact that it dissolves in my mouth and taste like candy :-) it’s fast acting usually within 15 to 30 minutes max I am ready to pass out. And that’s coming from somebody who has a sleep deficiency where I only cycle 2 to 3 times if I’m lucky or is not as people say for 8 to 12 times. Which means I am never arrested! Plus on top of that I’ve had insomnia since I was a newborn I’m not even joking my mom take me to the hospital as a baby because I would not fall asleep until the sun came up and then slept until 11 AM every day. She was so delirious she actually believed my doctors joke that I was a vampire! I have tried every narcotic out there you name it I’ve taken it. Majority of our ties me to sleepwalk, some of them are causing me to sleep drive, some of them or hola me to wake up in the morning and I have been fired twice because of Ambien. Although that was early in my 20s. However this product is amazing! I do NOT recommend the 10 mg ones, it has a better taste because melatonin isn’t exactly that great tasting but the berry flavor covers that all up with the 5 mg and taste like a sweet treat right before bed! And has even improve the quality of my sleep, rather than waking feeling as if I’ve gotten no sleep, my recent sleep study shows that I am cycling now twice as many times as before and all that so I’m not in the normal range it is getting better. I feel I owe it all to Natto!!"
" December 11, 2023", United States ,5,J. Foust,Best Melatonin I've tried!,"I've been taking these dissolvable melatonin tablets for about a year now and I love them! They dissolve fast and taste great. I usually take one about an hour before bedtime, and sleep so much better than I used to. I was a very restless sleeper that would sometimes take hours to fall asleep, but thanks to melatonin I fall asleep easily and get a good restful night's sleep. My one small issue with them is that I wake up a little groggier than usual, but I can usually shake that off after a few minutes."
" January 12, 2024", United States ,5,Jaime,Works great!,"I have a hard time sleeping so I take these pretty regularly. This was my second bottle. For me, it takes a while to kick in so I have to plan ahead and take it so I can be tired at the time I want to go to sleep. Its a good value and the tablets dissolve fast."
" August 23, 2023", United States ,4,Kat20,Works well,"I had clinical insomnia last fall and winter. My doctor recommended I use REMFresh. I tried it and it worked really well. However, the price skyrocketed to $75 and more.
The reviews for this melatonin product were very promising, but I am a skeptic….
I am very happy with this product. I don’t sleep quite as deep as I did with the other, but I do return to a comfortable sleep easily when I have to get up during the night. Fortunately, it doesn’t leave me thick headed in the morning.
I would highly recommend this product. Monetarily there’s no contest. Effectiveness is wonderful.
I hope you get great results, too."
" December 25, 2023", United States ,5,Sarah,Best sleep ever,"I slept like a baby. Great taste, they dissolve in your mouth so no swallowing pills. Brings a lot of them for the price!! Worth it!"
" January 10, 2024", United States ,5,TheSHABANIMAL,Natrol Melatonin 5mg: A Five-Star Sleep Upgrade That Surpasses Expectations,"Having been a loyal user of the NOW melatonin brand for over a decade, I was hesitant to switch, but trying Natrol Melatonin 5mg has been a revelation, earning it a well-deserved five-star rating.

From the first night, I noticed a significant improvement in the quality of my sleep – a peaceful and restful experience that I hadn't realized was missing. Initially skeptical, I attributed it to a possible fluke, but after consistently using Natrol Melatonin for two bottles now, I can confidently say it's no accident.

The effectiveness of Natrol Melatonin is consistent and reliable, making it an essential part of my nighttime routine. The transition from my previous brand has been seamless, and the positive impact on my sleep has been undeniable.

I wholeheartedly recommend the Natrol Melatonin 5mg to anyone seeking a reliable and effective sleep aid. It has surpassed my expectations, providing the serene and restorative sleep I've been longing for. In my book, it's a five-star game-changer!"
" December 2, 2023", United States ,5,Isabelle,Works and yummy,I break this in half and is all that I need whenever I can’t fall asleep. Sometimes I give like 1.25mg of it to my kids when they won’t sleep either and works like a charm. I didn’t have any side effects like headache etc as they said about taking melatonin.. this is the first I ever took this supplement and The first night I had half of the tablet it worked immediately.
" November 29, 2023", United States ,5,C Love,Sweet Dreams in a Flash,"My go-to solution for fast and efficient sleep aid. The quick-dissolve feature lives up to its name, providing a swift and effective way to prepare for a restful night. One of the standout features for me is the strawberry flavor. It is pleasant for adults, but it's also for kids. The enjoyable taste eliminates the struggle of convincing little ones to take it, turning bedtime into a smoother and more enjoyable routine.
."
" January 4, 2024", United States ,5,Crystal S,better than others,"I originally purchased these because I wanted a dissolving pill that did not contain red-40 in the ingredients. I have found a few other brands that don't have red-40 but this one is the best tasting one I have tried so far. (it's a bit more expensive, but I think its worth it)"
" January 13, 2024", United States ,5,Fixermun,Melt in your mouth sleep aid,"These melt in your mouth and are absorbed through the membranes in your mouth. I break them in half, and use as needed. The flavor is good."
" January 5, 2024", United States ,5,Miriam D. Franklin,Melatonin,This always helps me fall asleep. It tastes good too
" January 6, 2024", United States ,5,Arlyn Almeida Aparicio,Sweet taste,Helps me sleep like a baby
" January 6, 2024", United States ,4,Placeholder,Works like it should,Taste is okay no after effects
" January 5, 2024", United States ,5,barbara,It helps me sleep,Sleeping
" November 27, 2023", United States ,5,That guy,Just Perfect for Me,"This 5mg dosage of melatonin is perfect for me and Natrol is a high-quality brand I've been using for years.

It's not always easy to find 5mg melatonin. 10mg is a little too much for me and I wake up a little groggy. This dosage, brand and price point is perfect for me and I'll definitely re-order!"
" December 14, 2023", United States ,5,Laurie,They do the trick!,Hubby didn't want to take sleep meds because he's taking plenty of meds already. His sleep specialist suggested using these instead and they've been working quite well.
" November 11, 2023", United States ,5,LIDOBADABRA,Only one brand I rely on,"It’s melting while still in my mouth, that’s how I know it will be absorbed fast. And like many melatonin users I confirm, melatonin is not going to make you fall asleep faster. But the safe nightly routine will. After I’m already in bed and ready to spend 20 mins on my phone, I pop one or two in and bam, brain is signaled. I will be far calmer and ready to switch off for the day."
" December 14, 2023", United States ,5,Denise Chechele,Easy to order,Seamless order and delivery - already knew the product is fantastic
" December 10, 2023", United States ,5,Kelly H Maise,Quanity & Price,I Have Forgotten Hiw Much I Missed These!! They Work Exceptionally Well!!
" December 16, 2023", United States ,5,JERELD MILLER,Melatonin,Love this dosage and flavor.
" December 15, 2023", United States ,5,Elizabeth A. Ruark,Effective,Came in great condition. Works well.
" December 6, 2023", United States ,5,Ángela Murcia,Best one!,This is the best brand I’ve tried. I have one every night and it works pretty fast
" December 10, 2023", United States ,5,Amazon Customer,great price,works like other melatonin and cost less than most melatonin
" December 13, 2023", United States ,5,Jimena Gallegos,Natrol Melatonina 5 mg,Justo lo que pedí
" December 13, 2023", United States ,5,Beau & Megan Bergmann,Great product,"Good flavor, nice size"
" October 27, 2023", United States ,5,Shalom,Good Quality Product👍🏻,"I get these Melatonin 5mg Strawberry-Flavored Supplements for Restful Sleep via Amazon’s Sub/Save every other month & am really happy with them. The quality is really good. They work really well for my family & me plus they taste really good. Strawberry is my favorite fruit so I have No problem taking these. Am happy with the results too. They have helped us with drifting off &/or staying asleep. Important when you have issues with sleeping.

Recommend…👍🏻

❤️‍🔥Shalom…"
" December 1, 2023", United States ,5,Ana,The only great fast acting Melatonin IMO,The best there is for fast acting dissolvable melatonin in the market!
" November 5, 2023", United States ,4,monica pieroni,Better than other brands,I like this brand better than others. I feel as if this brand works better. The dissolve and taste good
" December 5, 2023", United States ,5,A. Mahgoub,Good Quality,good product ssolves easily
" November 25, 2023", United States ,5,JoAn,They disolve in your mouth. They are great,I like the strawberry taste.
" October 16, 2023", United States ,5,Mark Lyle,Top Shelf,Puts me to sleep in less than a hour
" August 30, 2023", United States ,4,Christy,Contains xylitol,Beware of this product as it contains xylitol which is fatal even in small amounts to dogs and can be toxic to cats as well. I will no longer be buying this brand in the future but will opt for something unsweetened or differently sweetened. Every time I take one I worry my curious dog is going to to gobble one up if I drop it. Not worth the worry. There are so many other sugar alcohols—or even a small amount of real sugar—that could be used instead. Not sure why xylitol.
" November 27, 2023", United States ,5,Anthony L. Stashak,Excellent product,Night time sleep helper!
" October 14, 2023", United States ,5,Jdlco,Great value!,Love the quick dissolve and better priced here than Walmart.
" October 1, 2023", United States ,4,J. Davis,Good product but sometimes damaged,"I’ve been buying this brand melatonin product for quite awhile. It’s a good product, but every once in a while I get a bottle that has a more than acceptable amount that is broken into small pieces. Fortunately, it doesn’t happen too often."
" September 7, 2023", United States ,4,Site7000,New formula?,"I've ordered this product 12 times going back several years. The bottle I just received seems to have a new formulation. It dissolves much more slowly and the flavor is reduced. I'm not sure I like it, but it's not the end of the world. I've tried competitors and I really disliked their flavor, so I'll probably stick with this one."
" November 12, 2023", United States ,5,Lorena,Excelente,Buenísima y eficaz para adultos ayuda a conciliar sueño más rápido.
" October 9, 2023", United States ,5,Tarena,Non addicting,I love this product. Peaceful night sleep
" September 18, 2023", United States ,4,Kindle Customer,Taste is not great but works very well,Works very well for myself and my 9yo however they hate the taste so much they won’t take it as often as past ones I have purchased
" January 10, 2024", United States ,3,william wimberly,Wears off early,"Puts me to sleep pretty quickly, but wears off after about 4 hours. Actually wakes me up when it does."
" October 30, 2023", United States ,5,Phyllis Weaver,I love this product,I have used this for years. It also helps me tell which of 13 medications are which. A few look identical. Will buy again.
" November 9, 2023", United States ,5,Jenelson,I will sleep tonight,Helps me sleep
" November 9, 2023", United States ,5,Mimi and Gaga,Perfect,Perfect
" September 2, 2023", United States ,4,michele jack,Great deal.,Really like the way that melt in your mouth and they don't taste icky or leave your mouth chalky
" September 18, 2023", United States ,4,A customer,Melatonin 5 milligrams,Label has no USP.
" October 23, 2023", United States ,5,Teresa M,Works well,This product is perfect if you have trouble sleeping. No grogginess in the morning.
" September 12, 2023", United States ,5,Kimberly P.,Works Great,I love this product and have used for a very long time to help me get to sleep . The taste is nice and my grandchildren will even take a small portion of 1 tablet so the taste is kid approved as well & it helps them off to sleep fairly quickly.
" October 4, 2023", United States ,5,George H. Jones,Best Melatonin product I have ever used.,"This is a product that you really should dissolve under your tongue. I takes about 10-15 minutes to work, then you feel ready to sleep! I generally sleep through the entire night!
ps- It tastes great!"
" August 16, 2023", United States ,5,NV Rush Fan,Dissolve on the Tongue & Relax!,"These little tablets are very effective. Once in a while I have a really hard time sleeping, and I just dissolve 3 or 4 on my tongue, lie down & relax, and in less than 30 minutes I’m off in dreamland. I try not to take them too often, because I read if you take melatonin too regularly, your body will stop making it naturally. But, for occasional sleeplessness, these tablets are really wonderful."
" October 19, 2023", United States ,5,CdA Ringleader,Best tasting chewable,I’ve been using this brand for years. The effect is consistent and I sleep well using it
